-41	-41	0
-41	-37	0
-41	-33	0
-41	-29	0
-41	-25	0
-41	-21	0
-41	-17	0
-41	-13	0
-41	-9	0
-41	-5	0
-41	-1	0
-41	3	0
-41	7	0
-41	11	0
-41	15	0
-41	19	0
-41	23	0
-41	27	0
-41	31	0
-41	35	0
-41	39	0
-41	43	0
-41	47	0
-41	51	0
-41	55	0
-41	59	0
-39	-41	0
-39	-37	0
-39	-33	0
-39	-29	0
-39	-25	0
-39	-21	0
-39	-17	0
-39	-13	0
-39	-9	0
-39	-5	0
-39	-1	0
-39	3	0
-39	7	0
-39	11	0
-39	15	0
-39	19	0
-39	23	0
-39	27	0
-39	31	0
-39	35	0
-39	39	0
-39	43	0
-39	47	0
-39	51	0
-39	55	0
-39	59	0
-37	-41	0
-37	-37	0
-37	-33	0
-37	-29	0
-37	-25	0
-37	-21	0
-37	-17	0
-37	-13	0
-37	-9	0
-37	-5	0
-37	-1	0
-37	3	0
-37	7	0
-37	11	0
-37	15	0
-37	19	0
-37	23	0
-37	27	0
-37	31	0
-37	35	0
-37	39	0
-37	43	0
-37	47	0
-37	51	0
-37	55	0
-37	59	0
-35	-41	0
-35	-37	0
-35	-33	0
-35	-29	0
-35	-25	0
-35	-21	0
-35	-17	0
-35	-13	0
-35	-9	0
-35	-5	0
-35	-1	0
-35	3	0
-35	7	0
-35	11	0
-35	15	0
-35	19	0
-35	23	0
-35	27	0
-35	31	0
-35	35	0
-35	39	0
-35	43	0
-35	47	0
-35	51	0
-35	55	0
-35	59	0
-33	-41	0
-33	-37	0
-33	-33	0
-33	-29	0
-33	-25	0
-33	-21	0
-33	-17	0
-33	-13	0
-33	-9	0
-33	-5	0
-33	-1	0
-33	3	0
-33	7	0
-33	11	0
-33	15	0
-33	19	0
-33	23	0
-33	27	0
-33	31	0
-33	35	0
-33	39	0
-33	43	0
-33	47	0
-33	51	0
-33	55	0
-33	59	0
-31	-41	0
-31	-37	0
-31	-33	0
-31	-29	0
-31	-25	0
-31	-21	0
-31	-17	0
-31	-13	0
-31	-9	0
-31	-5	0
-31	-1	0
-31	3	0
-31	7	0
-31	11	0
-31	15	0
-31	19	0
-31	23	0
-31	27	0
-31	31	0
-31	35	0
-31	39	0
-31	43	0
-31	47	0
-31	51	0
-31	55	0
-31	59	0
-29	-41	0
-29	-37	0
-29	-33	0
-29	-29	0
-29	-25	0
-29	-21	0
-29	-17	0
-29	-13	0
-29	-9	0
-29	-5	0
-29	-1	0
-29	3	0
-29	7	0
-29	11	0
-29	15	0
-29	19	0
-29	23	0
-29	27	0
-29	31	0
-29	35	0
-29	39	0
-29	43	0
-29	47	0
-29	51	0
-29	55	0
-29	59	0
-27	-41	0
-27	-37	0
-27	-33	0
-27	-29	0
-27	-25	0
-27	-21	0
-27	-17	0
-27	-13	0
-27	-9	0
-27	-5	0
-27	-1	0
-27	3	0
-27	7	0
-27	11	0
-27	15	0
-27	19	0
-27	23	0
-27	27	0
-27	31	0
-27	35	0
-27	39	0
-27	43	0
-27	47	0
-27	51	0
-27	55	0
-27	59	0
-25	-41	0
-25	-37	0
-25	-33	0
-25	-29	0
-25	-25	0
-25	-21	0
-25	-17	0
-25	-13	0
-25	-9	0
-25	-5	0
-25	-1	0
-25	3	0
-25	7	0
-25	11	0
-25	15	0
-25	19	0
-25	23	0
-25	27	0
-25	31	0
-25	35	0
-25	39	0
-25	43	0
-25	47	0
-25	51	0
-25	55	0
-25	59	0
-23	-41	0
-23	-37	0
-23	-33	0
-23	-29	0
-23	-25	0
-23	-21	0
-23	-17	0
-23	-13	0
-23	-9	0
-23	-5	0
-23	-1	0
-23	3	0
-23	7	0
-23	11	0
-23	15	0
-23	19	0
-23	23	0
-23	27	0
-23	31	0
-23	35	0
-23	39	0
-23	43	0
-23	47	0
-23	51	0
-23	55	0
-23	59	0
-21	-41	0
-21	-37	0
-21	-33	0
-21	-29	0
-21	-25	0
-21	-21	0
-21	-17	0
-21	-13	0
-21	-9	0
-21	-5	0
-21	-1	0
-21	3	0
-21	7	0
-21	11	0
-21	15	0
-21	19	0
-21	23	0
-21	27	0
-21	31	0
-21	35	0
-21	39	0
-21	43	0
